Downloaded from “Spectral Workbench�,http://spectralworkbench.org/analyze/spectrum/20539
Wavelength,Intensity
380,0.842857143
385,0.828571429
390,0.657142857
395,0.514285714
400,0.742857143
405,0.3
410,0.185714286
415,0.171428571
420,0.157142857
425,0.157142857
430,0.157142857
435,0.185714286
440,0.157142857
445,0.028571429
450,0.071428571
455,0
460,0.014285714
465,0.028571429
470,0
475,0
480,0
485,0
490,0
495,0
500,0
505,0
510,0
515,0
520,0
525,0
530,0
535,0
540,0
545,0
550,0
555,0
560,0
565,0
570,0
575,0
580,0
585,0
590,0
595,0
600,0
605,0
610,0
615,0
620,0
625,0
630,0
635,0
640,0
645,0
650,0
655,0
660,0
665,0
670,0
675,0
680,0
685,0
690,0
695,0
700,0.014285714
705,0
710,0
715,0
720,0
725,0
730,0
735,0
740,0
745,0
750,0
755,0
760,0
765,0
770,0
775,0
780,0